timestamp,mouse_velocity,click_interval,scroll_burst,typing_latency,session_duration,click_count,cursor_entropy,typing_focus,label
2026-04-09 07:25:22.429993868,2.1301,1763.56,0.867,553.23,388.62,39,1.0,0.4,idle
2026-04-09 07:25:22.429993868,1.7339,2346.28,0.527,619.75,1703.83,58,0.86695,0.4,idle
2026-04-09 07:25:22.429993868,0.5564,2037.78,0.433,590.55,470.01,38,0.2782,0.4,idle
2026-04-09 07:25:22.429993868,2.0806,741.5,0.47400000000000003,602.45,1642.59,25,1.0,0.4,idle
2026-04-09 07:25:22.429993868,0.8563000000000001,2982.26,0.934,756.49,1539.23,50,0.42815000000000003,0.4,exit_intent
2026-04-09 07:25:22.429993868,0.4575,2371.02,0.181,288.69,784.0,59,0.22875,1.0,engagement
2026-04-09 07:25:22.429993868,0.06910000000000001,2674.63,0.194,803.33,7.37,10,0.034550000000000004,0.4,idle
2026-04-09 07:25:22.429993868,1.9759000000000002,468.26,0.659,153.19,202.13,4,0.9879500000000001,1.0,idle
2026-04-09 07:25:22.429993868,0.8559,2589.55,0.374,804.83,1682.9,24,0.42795,0.4,idle
2026-04-09 07:25:22.429993868,2.3145,2531.22,0.10300000000000001,859.87,1711.84,28,1.0,0.4,idle
2026-04-09 07:25:22.429993868,1.5016,940.88,0.876,334.37,1022.43,43,0.7508,1.0,idle
2026-04-09 07:25:22.429993868,0.7033,881.2,0.846,779.47,1128.04,6,0.35165,0.4,idle
2026-04-09 07:25:22.429993868,0.8096,1030.61,0.927,352.12,757.47,26,0.4048,1.0,engagement
2026-04-09 07:25:22.429993868,1.4211,482.75,0.747,281.68,1284.1,38,0.71055,1.0,idle
2026-04-09 07:25:22.429993868,0.8067000000000001,506.87,0.303,469.55,1047.02,20,0.40335000000000004,1.0,engagement
2026-04-09 07:25:22.429993868,1.0939,2442.63,0.971,312.7,925.6,52,0.54695,1.0,exit_intent
2026-04-09 07:25:22.429993868,0.30710000000000004,1172.71,0.033,171.56,1401.94,51,0.15355000000000002,1.0,engagement
2026-04-09 07:25:22.429993868,1.5569000000000002,1727.28,0.71,878.12,573.39,54,0.7784500000000001,0.4,idle
2026-04-09 07:25:22.429993868,1.2633,599.64,0.36,171.2,271.6,25,0.63165,1.0,idle
2026-04-09 07:25:22.429993868,1.7479,202.48,0.541,672.99,551.05,54,0.87395,0.4,confusion
2026-04-09 07:25:22.429993868,0.6719,780.08,0.9470000000000001,214.74,1677.6,50,0.33595,1.0,engagement
2026-04-09 07:25:22.429993868,0.5304,2179.75,0.928,599.91,1421.8,13,0.2652,0.4,exit_intent
2026-04-09 07:25:22.429993868,0.2174,966.67,0.23,308.67,1131.71,7,0.1087,1.0,engagement
2026-04-09 07:25:22.429993868,1.3122,426.98,0.155,728.51,988.99,43,0.6561,0.4,idle
2026-04-09 07:25:22.429993868,0.8085,1105.03,0.898,670.38,1748.14,60,0.40425,0.4,idle
2026-04-09 07:25:22.429993868,0.5154,2777.09,0.09,681.01,1667.71,23,0.2577,0.4,idle
2026-04-09 07:25:22.429993868,0.34850000000000003,1756.02,0.171,373.99,77.81,58,0.17425000000000002,1.0,engagement
2026-04-09 07:25:22.429993868,0.4082,2375.07,0.8210000000000001,506.76,119.16,35,0.2041,0.4,exit_intent
2026-04-09 07:25:22.429993868,0.7043,167.35,0.8130000000000001,370.34,523.41,34,0.35215,1.0,engagement
